iter	Passed	Remaining
402	11960	17717
403	11988	17686
404	12019	17658
405	12046	17624
406	12074	17593
407	12103	17562
408	12131	17530
409	12157	17495
410	12184	17461
411	12207	17422
412	12230	17383
413	12252	17342
414	12274	17301
415	12294	17259
416	12314	17217
417	12337	17177
418	12364	17145
419	12396	17119
420	12422	17084
421	12444	17044
422	12466	17005
423	12490	16968
424	12513	16929
425	12538	16894
426	12562	16858
427	12583	16817
428	12607	16781
429	12630	16742
430	12652	16704
431	12674	16664
432	12695	16624
433	12717	16584
434	12738	16545
435	12759	16505
436	12780	16465
437	12801	16425
438	12824	16389
439	12846	16350
440	12869	16313
441	12893	16277
442	12917	16241
443	12942	16207
444	12968	16173
445	12994	16140
446	13019	16107
447	13040	16068
448	13064	16031
449	13085	15993
450	13105	15953
451	13126	15914
452	13147	15876
453	13169	15838
454	13190	15800
455	13211	15761
456	13235	15726
457	13256	15687
458	13277	15649
459	13298	15611
460	13320	15573
461	13341	15535
462	13363	15499
463	13384	15461
464	13407	15425
465	13429	15388
466	13450	15351
467	13474	15316
468	13496	15280
469	13518	15244
470	13539	15207
471	13566	15176
472	13589	15140
473	13615	15108
474	13638	15074
475	13661	15039
476	13685	15004
477	13708	14970
478	13735	14939
479	13759	14906
480	13782	14871
481	13805	14836
482	13829	14802
483	13851	14767
484	13875	14733
485	13898	14699
486	13926	14669
487	13953	14639
488	13978	14607
489	14004	14575
490	14029	14543
491	14055	14512
492	14083	14483
493	14109	14452
494	14136	14422
495	14165	14393
496	14193	14364
497	14232	14347
498	14267	14324
499	14304	14304
500	14345	14287
501	14379	14265
502	14415	14243
503	14449	14219
504	14480	14193
505	14512	14168
506	14544	14142
507	14575	14116
508	14607	14090
509	14638	14064
510	14665	14033
511	14687	13999
512	14712	13966
513	14734	13932
514	14756	13896
515	14778	13861
516	14803	13830
517	14828	13798
518	14856	13768
519	14878	13734
520	14905	13703
521	14930	13671
522	14954	13639
523	14980	13608
524	15005	13576
525	15029	13543
526	15051	13509
527	15076	13477
528	15100	13445
529	15123	13411
530	15147	13379
531	15172	13347
532	15195	13314
533	15220	13282
534	15242	13248
535	15267	13216
536	15291	13184
537	15316	13152
538	15344	13123
539	15370	13093
540	15396	13062
541	15423	13033
542	15451	13004
543	15479	12975
544	15508	12947
545	15536	12919
546	15570	12894
547	15601	12868
548	15626	12837
549	15648	12803
550	15671	12770
551	15695	12738
552	15731	12716
553	15812	12730
554	15905	12753
555	15953	12740
556	15981	12710
557	16013	12684
558	16045	12658
559	16072	12628
560	16099	12598
561	16127	12569
562	16154	12539
563	16176	12505
564	16206	12477
565	16244	12456
566	16281	12434
567	16326	12417
568	16368	12398
569	16405	12375
570	16445	12355
571	16482	12332
572	16521	12311
573	16557	12288
574	16584	12258
575	16611	12227
576	16636	12196
577	16666	12168
578	16698	12141
579	16734	12117
580	16769	12093
581	16800	12066
582	16838	12044
583	16884	12027
584	16919	12003
585	16957	11980
586	16994	11956
587	17025	11929
588	17054	11900
589	17085	11872
590	17116	11845
591	17142	11814
592	17170	11784
593	17199	11755
594	17240	11734
595	17274	11709
596	17320	11691
597	17366	11674
598	17408	11654
599	17448	11632
600	17483	11607
601	17517	11581
602	17552	11556
603	17584	11528
604	17613	11499
605	17638	11468
606	17665	11437
607	17692	11407
608	17718	11376
609	17743	11344
610	17777	11317
611	17802	11286
612	17829	11256
613	17855	11225
614	17880	11193
615	17906	11162
616	17933	11131
617	17958	11100
618	17981	11067
619	18003	11034
620	18024	11000
621	18045	10966
622	18067	10933
623	18089	10900
624	18112	10867
625	18135	10834
626	18160	10803
627	18189	10774
628	18224	10749
629	18255	10721
630	18284	10692
631	18315	10664
632	18348	10637
633	18378	10609
634	18403	10578
635	18436	10551
636	18462	10520
637	18485	10488
638	18508	10456
639	18538	10427
640	18575	10403
641	18611	10378
642	18652	10356
643	18692	10332
644	18725	10306
645	18759	10280
646	18792	10253
647	18823	10224
648	18859	10199
649	18892	10172
650	18925	10145
651	18958	10118
652	18992	10092
653	19029	10067
654	19063	10040
655	19095	10013
656	19130	9987
657	19164	9960
658	19210	9940
659	19259	9921
660	19321	9909
661	19386	9898
662	19446	9884
663	19523	9879
664	19579	9863
665	19615	9837
666	19653	9812
667	19681	9781
668	19716	9754
669	19752	9728
670	19785	9701
671	19812	9670
672	19839	9639
673	19865	9608
674	19889	9576
675	19917	9546
676	19944	9515
677	19969	9483
678	19995	9452
679	20020	9421
680	20044	9389
681	20077	9361
682	20104	9330
683	20133	9301
684	20156	9268
685	20183	9238
686	20211	9208
687	20239	9178
688	20263	9146
689	20292	9116
690	20321	9087
691	20349	9057
692	20375	9026
693	20402	8995
694	20426	8964
695	20449	8931
696	20473	8900
697	20504	8871
698	20531	8841
699	20560	8811
700	20593	8783
701	20619	8753
702	20648	8723
703	20683	8696
704	20713	8667
705	20741	8637
706	20768	8607
707	20793	8575
708	20818	8544
709	20843	8513
710	20869	8482
711	20896	8452
712	20924	8422
713	20951	8392
714	20978	8362
715	21005	8331
716	21032	8301
717	21059	8271
718	21084	8240
719	21110	8209
720	21133	8177
721	21155	8145
722	21179	8114
723	21202	8082
724	21228	8052
725	21253	8021
726	21276	7989
727	21300	7958
728	21322	7926
729	21342	7893
730	21366	7862
731	21390	7831
732	21413	7800
733	21437	7768
734	21460	7737
735	21483	7705
736	21506	7674
737	21529	7643
738	21550	7611
739	21574	7580
740	21596	7548
741	21622	7518
742	21642	7486
743	21665	7454
744	21687	7423
745	21710	7391
746	21732	7360
747	21754	7329
748	21778	7298
749	21806	7268
750	21837	7240
751	21871	7212
752	21906	7185
753	21937	7157
754	21967	7128
755	21997	7099
756	22028	7071
757	22059	7042
758	22089	7013
759	22121	6985
760	22153	6957
761	22184	6928
762	22218	6901
763	22247	6872
764	22281	6844
765	22309	6815
766	22343	6787
767	22375	6759
768	22406	6730
769	22437	6702
770	22465	6672
771	22489	6642
772	22515	6611
773	22539	6581
774	22563	6550
775	22589	6520
776	22615	6490
777	22644	6461
778	22667	6430
779	22689	6399
780	22716	6369
781	22738	6338
782	22761	6308
783	22783	6277
784	22806	6246
785	22830	6215
786	22855	6185
787	22878	6155
788	22901	6124
789	22924	6093
790	22948	6063
791	22971	6032
792	22993	6002
793	23017	5971
794	23041	5941
795	23065	5911
796	23089	5881
797	23110	5850
798	23134	5819
799	23158	5789
800	23183	5759
801	23206	5729
802	23229	5698
803	23252	5668
804	23275	5638
805	23298	5607
806	23321	5577
807	23342	5546
808	23367	5516
809	23390	5486
810	23414	5456
811	23443	5427
812	23471	5398
813	23499	5369
814	23526	5340
815	23556	5311
816	23585	5282
817	23613	5253
818	23637	5224
819	23661	5193
820	23684	5163
821	23710	5134
822	23733	5104
823	23758	5074
824	23781	5044
825	23802	5013
826	23825	4983
827	23851	4954
828	23878	4925
829	23903	4895
830	23929	4866
831	23954	4837
832	23979	4807
833	24003	4777
834	24028	4748
835	24051	4718
836	24074	4688
837	24096	4658
838	24118	4628
839	24140	4598
840	24162	4568
841	24182	4537
842	24206	4508
843	24227	4478
844	24250	4448
845	24271	4418
846	24294	4388
847	24318	4359
848	24348	4330
849	24377	4301
850	24408	4273
851	24435	4244
852	24462	4215
853	24489	4186
854	24516	4157
855	24543	4128
856	24569	4099
857	24597	4070
858	24623	4041
859	24650	4012
