iter	Logloss
258	0.4680726677
259	0.4679297624
260	0.467806597
261	0.4676495916
262	0.467318735
263	0.4671187597
264	0.466769887
265	0.4666194015
266	0.4664479426
267	0.4662574122
268	0.4659358401
269	0.4657708174
270	0.4652481269
271	0.4649820938
272	0.464789545
273	0.4645910349
274	0.4643090571
275	0.4640989364
276	0.4639446054
277	0.4637443951
278	0.4633846706
279	0.4630918213
280	0.4628531171
281	0.462600971
282	0.4624037011
283	0.4622574459
284	0.4620974478
285	0.4619233444
286	0.461707829
287	0.4615021844
288	0.4612100835
289	0.4609016904
290	0.4607062805
291	0.460160871
292	0.4600196598
293	0.4597129141
294	0.4595625655
295	0.4593614544
296	0.4591155809
297	0.4589077381
298	0.4587064732
299	0.4585299948
300	0.4583235384
301	0.4581551508
302	0.4578381351
303	0.4576543526
304	0.4573083565
305	0.4570668358
306	0.4568422977
307	0.4566000008
308	0.4563629617
309	0.4561313284
310	0.4559517214
311	0.4557861927
312	0.4556034771
313	0.4554300848
314	0.4552771271
315	0.455067156
316	0.4549025378
317	0.4546927327
318	0.4544427359
319	0.4541992631
320	0.454002455
321	0.4537730381
322	0.4536037098
323	0.4534651238
324	0.4532750178
325	0.4530577766
326	0.4529188972
327	0.4526311399
328	0.4522116376
329	0.4520221034
330	0.4518141639
331	0.4512085421
332	0.4509068048
333	0.4506924015
334	0.4504933908
335	0.4502689246
336	0.4501085856
337	0.4498825575
338	0.4496853589
339	0.4493445263
340	0.4488857031
341	0.4486641598
342	0.4485258094
343	0.4482753949
344	0.4480973449
345	0.4479634256
346	0.4478253357
347	0.4477148058
348	0.4475042053
349	0.4472717877
350	0.4471681993
351	0.4467650951
352	0.4466066065
353	0.4464118376
354	0.4462025414
355	0.4460764981
356	0.4458416528
357	0.445635862
358	0.44544236
359	0.4452103597
360	0.4450199996
361	0.4448593032
362	0.4446616835
363	0.4444610171
364	0.4442967026
365	0.4440706741
366	0.4436055602
367	0.4434166138
368	0.4432558739
369	0.4430535213
370	0.4429230387
371	0.4427381209
372	0.4424979629
373	0.4423418261
374	0.4421879067
375	0.4420222599
376	0.4418895575
377	0.441748035
378	0.4416175474
379	0.4414021817
380	0.4412331187
381	0.4410136357
382	0.4408874161
383	0.4406859525
384	0.4404968086
385	0.440348632
386	0.4401734671
387	0.4399475544
388	0.4397622268
389	0.4396127705
390	0.4394557906
391	0.4392344209
392	0.4390111104
393	0.4389389901
394	0.4388188486
395	0.438600932
396	0.4384371687
397	0.4382994745
398	0.4381174225
399	0.4378447882
400	0.4375764001
401	0.4373243021
402	0.4369449874
403	0.436789724
404	0.4366453428
405	0.4364871748
406	0.436259009
407	0.4360904755
408	0.4359483928
409	0.4357541163
410	0.4355230629
411	0.4353637084
412	0.4351271211
413	0.4349905644
414	0.4348274139
415	0.4346662873
416	0.4345031274
417	0.4343846462
418	0.4342361432
419	0.4338892918
420	0.4337069699
421	0.4335622511
422	0.4334245258
423	0.4332312391
424	0.4331012058
425	0.4329968228
426	0.4328641255
427	0.4327158529
428	0.4324129985
429	0.4322497186
430	0.4321037316
431	0.4319819884
432	0.4317900746
433	0.4315955245
434	0.4314800373
435	0.4314722511
436	0.4314012719
437	0.4313444561
438	0.4312140206
439	0.4310162178
440	0.4308637761
441	0.4306705496
442	0.4305366069
443	0.4303797319
444	0.430193996
445	0.4300029533
446	0.4298445582
447	0.4297117654
448	0.4295843429
449	0.4292550715
450	0.4291191023
451	0.4289746076
452	0.4288713528
453	0.4287112928
454	0.4285763732
455	0.4283679096
456	0.4282335321
457	0.4281075194
458	0.4279034109
459	0.4277564599
460	0.4276245371
461	0.4274034878
462	0.4272574061
463	0.4271102211
464	0.4269934534
465	0.4268474746
466	0.42670386
467	0.426551811
468	0.4264179374
469	0.4262465045
470	0.4260871141
471	0.4259192837
472	0.4257607358
473	0.4256354253
474	0.4253979202
475	0.425225058
476	0.4251263657
477	0.4249805836
478	0.4247974885
479	0.4246429394
480	0.4244709957
481	0.4243329434
482	0.4242124341
483	0.4239342654
484	0.4237610548
485	0.4235898341
486	0.4234560391
487	0.4232699758
488	0.4230925961
489	0.4228453311
490	0.4226882947
491	0.422574167
492	0.4222536317
493	0.4219207642
494	0.4217754668
495	0.4215821129
496	0.4214494314
497	0.4212832155
498	0.4211223418
499	0.4209502217
500	0.4206965313
501	0.4205857418
502	0.420459333
503	0.4203325864
504	0.4201317553
505	0.419911941
506	0.4197879358
507	0.4196766359
508	0.4194651237
509	0.4193227544
510	0.4191284747
511	0.4190600192
512	0.4189241523
513	0.4187975195
514	0.4186574181
515	0.4184645573
516	0.4182894591
517	0.4180814641
518	0.4178707473
519	0.4177122689
520	0.4175263822
521	0.417377789
522	0.4172564849
523	0.4170641893
524	0.4169275455
525	0.4167570491
526	0.4165492188
527	0.4163966621
528	0.4162432255
529	0.4159268667
530	0.4158121413
531	0.4156981188
532	0.4155201967
533	0.4153904517
534	0.4152835795
535	0.4151536015
536	0.4150168879
537	0.4148835036
538	0.414733841
539	0.4145482173
540	0.4143737585
541	0.4140698262
542	0.4138602696
543	0.4137353304
544	0.4135808185
545	0.4134387832
546	0.41301938
547	0.4128961452
548	0.4127629766
549	0.4125898398
550	0.4124548904
551	0.4122816243
552	0.4121240408
553	0.4119709934
554	0.4118322287
555	0.4117289453
556	0.4115648436
557	0.4113492166
558	0.4112434395
559	0.4110316791
560	0.4108992227
561	0.4106880548
562	0.4105771432
563	0.4104569673
564	0.4103139092
565	0.4102110441
566	0.4100904195
567	0.4099539036
568	0.4097777516
569	0.4096760811
570	0.4094520399
571	0.409311729
572	0.4092120147
573	0.409080836
574	0.4089902119
575	0.4089161642
576	0.408910045
577	0.4087925888
578	0.4086437059
579	0.408518486
580	0.4083728267
581	0.4081579834
582	0.4079530299
583	0.4077778673
584	0.4077700107
585	0.4076193788
586	0.4074685046
587	0.407340426
588	0.4071465523
589	0.4070075672
590	0.4068443313
591	0.4067348104
592	0.4065190219
593	0.4064411111
594	0.4062679849
595	0.4060865772
596	0.4059505378
597	0.4058062705
598	0.4055016875
599	0.4053427558
600	0.405215045
601	0.4050800178
602	0.4049742088
603	0.4048418131
604	0.4046657164
605	0.4045437151
606	0.4042909699
607	0.404197767
608	0.4040907692
609	0.4040196097
610	0.4038862323
611	0.4037183697
612	0.4035629512
613	0.4034386214
614	0.4033158186
615	0.4031818829
616	0.4030670102
617	0.4029133148
618	0.402713886
619	0.402561649
620	0.4024111555
621	0.4022534791
622	0.4021167584
623	0.4020159887
624	0.4018341997
625	0.401705848
626	0.4015511405
627	0.401393613
628	0.4012389282
629	0.4010624489
630	0.4009207742
631	0.4008088494
632	0.4006139536
633	0.4005043221
634	0.4003557841
635	0.4002305911
636	0.3999694188
637	0.3997905392
638	0.3996468509
639	0.3995041238
640	0.3993476859
641	0.3991765931
642	0.3989730205
643	0.3988997185
644	0.3987180357
645	0.3985895211
646	0.398361417
647	0.3982369094
648	0.3979691409
649	0.3978288563
650	0.3976793954
651	0.3975891655
652	0.3974627146
653	0.3971942546
654	0.397104801
655	0.3969908025
656	0.3968300558
657	0.3966241612
658	0.3963740551
659	0.3961557981
660	0.3960127027
661	0.39587099
662	0.3957456923
663	0.3956047211
664	0.3954476122
665	0.395316667
666	0.3951885254
667	0.3950449671
668	0.3948845294
669	0.3947765159
670	0.3946191227
671	0.3945014361
672	0.3943715649
673	0.3942456541
674	0.3941351316
675	0.393963026
676	0.3938372514
677	0.3937341703
678	0.3935756961
679	0.3934964009
680	0.3933438425
681	0.3930917984
682	0.3929851177
683	0.3928335097
684	0.3928225915
685	0.3926920942
686	0.392424832
687	0.3922933915
688	0.3921438326
689	0.3919862475
690	0.3919011699
691	0.391768037
692	0.3915637147
693	0.3914584794
694	0.3913988506
695	0.3912566579
696	0.391127842
697	0.3910001637
698	0.3909475945
699	0.3908153481
700	0.390691236
701	0.390686428
702	0.3905219258
703	0.3904086036
704	0.3902172923
705	0.3900919098
706	0.3899509353
707	0.3898262346
708	0.389761603
709	0.3896603277
710	0.3895024292
711	0.3893439148
712	0.3892114317
713	0.3891431782
714	0.3890320088
715	0.3889163656
716	0.3887629709
717	0.3886905829
718	0.3885715247
719	0.388447856
720	0.3883411587
721	0.3882486068
722	0.3881484264
723	0.3880241319
724	0.3879090243
725	0.3877525335
726	0.3876170366
727	0.3875193665
728	0.3874200362
729	0.3873008613
730	0.3871196268
731	0.386948371
732	0.3868136205
733	0.3866685051
734	0.3865706657
735	0.3863951048
736	0.3862710691
737	0.3861079144
738	0.3860153048
739	0.3858685295
740	0.3857186549
741	0.3855691125
742	0.3854680007
743	0.3853455798
744	0.3852059862
745	0.3851049312
746	0.3849870538
747	0.3848493545
748	0.3846754498
749	0.3845197505
750	0.3843957964
751	0.3842624646
752	0.3841368088
753	0.384004137
754	0.3839021672
755	0.3837811314
756	0.3836222896
757	0.383475641
758	0.3833714863
759	0.3832240168
760	0.383073406
761	0.3830089458
762	0.3828785456
763	0.3827690202
764	0.3825852744
765	0.3825257819
766	0.3824150099
767	0.3822907923
768	0.382186626
769	0.3820060079
770	0.3818233366
771	0.3816553409
772	0.3814739446
773	0.3813496126
774	0.3812537199
775	0.3810723018
776	0.3809530291
777	0.3806735677
778	0.3805215162
779	0.3803870372
780	0.3801981404
781	0.380062684
782	0.3799695072
783	0.3798769499
784	0.3797105026
785	0.3795365534
786	0.3794099843
787	0.3792498441
788	0.3791373472
789	0.3791327889
790	0.3790159997
791	0.3788990037
792	0.3787987058
793	0.3786194281
794	0.3785165993
795	0.3783454648
796	0.3782041717
797	0.3781998522
798	0.3780978798
799	0.3779287367
800	0.3777872419
801	0.3776867187
802	0.3775801738
803	0.3774509361
804	0.3773476804
805	0.3772394214
806	0.377075259
807	0.3769396961
808	0.3768232318
809	0.3767803471
810	0.3766557155
811	0.3764311804
812	0.3762944597
813	0.3759900176
814	0.3758377023
815	0.3756979518
816	0.3755957427
817	0.375479105
818	0.3753264476
819	0.3751500994
820	0.375056795
821	0.3748784842
822	0.3746896852
823	0.374544935
824	0.3744134557
825	0.3744092144
826	0.3742385982
827	0.3741247341
828	0.373972701
829	0.3737818435
830	0.3736715465
831	0.3735846165
832	0.3734707193
833	0.3733563374
834	0.3732185872
835	0.3730490619
836	0.3729389909
837	0.3728033214
838	0.3726723157
839	0.3725794677
840	0.3724458697
841	0.3723591658
842	0.3722222152
843	0.3721256383
844	0.3719851437
845	0.371831503
846	0.3717584837
847	0.3716132252
848	0.3715205869
849	0.3714044505
850	0.3712529597
851	0.3711397156
852	0.3709978051
853	0.3708683579
854	0.3707049083
855	0.3705771192
856	0.3704873053
857	0.3703771526
858	0.370232647
859	0.3701081227
860	0.3700004188
861	0.3697607111
862	0.3696769476
863	0.3695064097
864	0.3693213815
865	0.3692017548
866	0.369050361
867	0.3689587766
868	0.3688477893
869	0.368753289
870	0.3686554231
871	0.3685585932
872	0.3684235095
873	0.3682921153
874	0.36814866
875	0.3680268787
876	0.3679073949
877	0.3678161904
878	0.3677218597
879	0.3676290453
880	0.3675357024
881	0.3673752865
882	0.3672786371
883	0.3671184388
884	0.3669974973
885	0.3669041592
886	0.366798067
887	0.3666865313
888	0.3665453055
889	0.3664530915
890	0.366287533
891	0.3661285235
892	0.3659699411
893	0.365910643
894	0.365813475
895	0.3656571592
896	0.365551783
897	0.3653943752
898	0.3652659348
899	0.3651464757
900	0.3649957779
901	0.3649115922
902	0.364771078
903	0.3646822207
904	0.3646140479
905	0.3645011872
906	0.3643002327
907	0.3641628188
908	0.3640960824
909	0.3640028785
910	0.3639042054
911	0.3637764679
912	0.3636299591
913	0.3635166372
914	0.3633795876
915	0.3632360159
916	0.363092494
917	0.3629728256
918	0.3628701327
919	0.3627885241
920	0.3626794994
921	0.3625288448
922	0.3623669691
923	0.3622960335
924	0.3621926825
925	0.3621005635
926	0.3619859879
927	0.3618695821
928	0.3617186331
929	0.3616237135
930	0.3615201135
931	0.3613870829
932	0.3612888385
933	0.3611217147
934	0.3610104651
935	0.3609181975
936	0.360831488
937	0.3607135616
938	0.3606205193
939	0.3606155259
940	0.3605044178
941	0.360363234
942	0.3602554565
943	0.3601545753
944	0.3600729565
945	0.3599788532
946	0.3598779222
947	0.359745126
948	0.359599062
949	0.3595037373
950	0.3594361687
951	0.3592821052
952	0.3592043753
953	0.3591205935
954	0.3590191749
955	0.3588959314
956	0.3587426614
957	0.3586505521
958	0.3585394428
959	0.3584412417
960	0.3583375496
961	0.3581640174
962	0.358065073
963	0.3579262622
964	0.3578311788
965	0.3577385897
966	0.3575986731
967	0.3575933717
968	0.3574874691
969	0.3573781055
970	0.3572500002
971	0.3570152098
972	0.3567633972
973	0.3566672449
974	0.3565109103
975	0.3563660744
976	0.3563218671
977	0.3561648753
978	0.356017772
979	0.3559203109
980	0.3557622594
981	0.3556511856
982	0.3555517253
983	0.3554148119
984	0.355330312
985	0.3552313455
986	0.3551339615
987	0.3550356272
988	0.3548823948
989	0.3547900345
990	0.3546390623
991	0.3545707106
992	0.3545090967
993	0.3543692498
994	0.3542640613
995	0.3541235624
996	0.3540808061
997	0.3539349009
998	0.3538290624
999	0.3537004879
